danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.486,0.699,8,-0.385,1,0.0432,0.772,0.00147,0.241,0.537,97.128,audio_features,3lq8jYc1RNZG2CV3eaSPNk,spotify:track:3lq8jYc1RNZG2CV3eaSPNk,https://api.spotify.com/v1/tracks/3lq8jYc1RNZG2CV3eaSPNk,https://api.spotify.com/v1/audio-analysis/3lq8jYc1RNZG2CV3eaSPNk,37018,4
0.584,0.986,4,-0.385,1,0.0755,0.0532,0.000655,0.019,0.583,144.025,audio_features,0PTGYdQvnVQ1YJ65jxBNoT,spotify:track:0PTGYdQvnVQ1YJ65jxBNoT,https://api.spotify.com/v1/tracks/0PTGYdQvnVQ1YJ65jxBNoT,https://api.spotify.com/v1/audio-analysis/0PTGYdQvnVQ1YJ65jxBNoT,275880,4
0.563,0.945,8,-0.387,1,0.0635,0.0949,0.0,0.216,0.865,164.077,audio_features,6gxF4ibm6S95UUC6vyIiln,spotify:track:6gxF4ibm6S95UUC6vyIiln,https://api.spotify.com/v1/tracks/6gxF4ibm6S95UUC6vyIiln,https://api.spotify.com/v1/audio-analysis/6gxF4ibm6S95UUC6vyIiln,186896,4
0.573,0.959,8,-0.387,1,0.0901,0.0593,2.84e-05,0.114,0.809,161.553,audio_features,2JmZ0T4edkqdthYVlDuGxg,spotify:track:2JmZ0T4edkqdthYVlDuGxg,https://api.spotify.com/v1/tracks/2JmZ0T4edkqdthYVlDuGxg,https://api.spotify.com/v1/audio-analysis/2JmZ0T4edkqdthYVlDuGxg,242160,4
0.536,0.973,7,-0.394,1,0.119,0.0099,0.666,0.112,0.822,169.989,audio_features,7b5ZmnRg42LXGAprG0q9hs,spotify:track:7b5ZmnRg42LXGAprG0q9hs,https://api.spotify.com/v1/tracks/7b5ZmnRg42LXGAprG0q9hs,https://api.spotify.com/v1/audio-analysis/7b5ZmnRg42LXGAprG0q9hs,228093,4
0.587,0.998,8,-0.401,1,0.0755,0.26,3.11e-05,0.0646,0.752,159.98,audio_features,0yQMTRdK2vzN3wNKaFamtR,spotify:track:0yQMTRdK2vzN3wNKaFamtR,https://api.spotify.com/v1/tracks/0yQMTRdK2vzN3wNKaFamtR,https://api.spotify.com/v1/audio-analysis/0yQMTRdK2vzN3wNKaFamtR,207375,4
0.334,0.988,2,-0.411,1,0.0878,0.00816,0.000229,0.362,0.197,150.936,audio_features,2uUlRE5eQjSWPsAnbzGByw,spotify:track:2uUlRE5eQjSWPsAnbzGByw,https://api.spotify.com/v1/tracks/2uUlRE5eQjSWPsAnbzGByw,https://api.spotify.com/v1/audio-analysis/2uUlRE5eQjSWPsAnbzGByw,263933,4
0.356,0.95,6,-0.428,0,0.0933,0.0137,0.00629,0.0334,0.296,179.923,audio_features,6uaMKPLKSFNQ3wYSeWGCoU,spotify:track:6uaMKPLKSFNQ3wYSeWGCoU,https://api.spotify.com/v1/tracks/6uaMKPLKSFNQ3wYSeWGCoU,https://api.spotify.com/v1/audio-analysis/6uaMKPLKSFNQ3wYSeWGCoU,282760,4
0.58,0.99,1,-0.444,1,0.0426,0.00559,0.000247,0.0683,0.835,95.025,audio_features,0TQpPhA1OBrVGIfaKShRrx,spotify:track:0TQpPhA1OBrVGIfaKShRrx,https://api.spotify.com/v1/tracks/0TQpPhA1OBrVGIfaKShRrx,https://api.spotify.com/v1/audio-analysis/0TQpPhA1OBrVGIfaKShRrx,210316,4
0.548,0.98,5,-0.471,0,0.1,0.116,0.0,0.296,0.755,152.111,audio_features,2llI6h2T2O5KZfn1OhJQAA,spotify:track:2llI6h2T2O5KZfn1OhJQAA,https://api.spotify.com/v1/tracks/2llI6h2T2O5KZfn1OhJQAA,https://api.spotify.com/v1/audio-analysis/2llI6h2T2O5KZfn1OhJQAA,203034,4
